date,All Employees: Federal Government,state,msa,city
2014-03-01,53.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2014-04-01,53.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2014-05-01,53.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2014-06-01,52.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2014-07-01,53.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2014-08-01,52.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2014-09-01,53.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2014-10-01,53.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2014-11-01,53.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2014-12-01,54.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1990-01-01,15.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1990-02-01,15.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1990-03-01,15.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1990-04-01,15.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1990-05-01,15.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1990-06-01,15.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1990-07-01,15.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1990-08-01,14.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1990-09-01,14.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1990-10-01,14.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1990-11-01,14.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1990-12-01,14.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1991-01-01,14.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1991-02-01,14.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1991-03-01,14.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1991-04-01,14.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1991-05-01,14.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1991-06-01,14.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1991-07-01,14.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1991-08-01,14.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1991-09-01,15.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1991-10-01,14.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1991-11-01,15.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1991-12-01,15.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1992-01-01,14.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1992-02-01,14.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1992-03-01,14.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1992-04-01,14.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1992-05-01,14.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1992-06-01,14.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1992-07-01,14.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1992-08-01,14.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1992-09-01,14.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1992-10-01,14.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1992-11-01,14.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1992-12-01,14.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1993-01-01,14.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1993-02-01,14.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1993-03-01,14.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1993-04-01,14.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1993-05-01,14.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1993-06-01,14.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1993-07-01,13.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1993-08-01,13.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1993-09-01,13.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1993-10-01,13.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1993-11-01,13.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1993-12-01,13.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1994-01-01,12.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1994-02-01,12.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1994-03-01,12.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1994-04-01,12.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1994-05-01,12.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1994-06-01,12.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1994-07-01,12.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1994-08-01,12.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1994-09-01,11.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1994-10-01,11.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1994-11-01,11.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1994-12-01,11.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1995-01-01,11.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1995-02-01,11.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1995-03-01,11.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1995-04-01,11.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1995-05-01,11.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1995-06-01,11.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1995-07-01,10.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1995-08-01,10.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1995-09-01,10.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1995-10-01,10.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1995-11-01,10.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1995-12-01,10.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1996-01-01,10.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1996-02-01,10.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1996-03-01,10.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1996-04-01,9.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1996-05-01,9.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1996-06-01,9.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1996-07-01,9.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1996-08-01,8.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1996-09-01,8.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1996-10-01,8.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1996-11-01,8.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1996-12-01,8.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1997-01-01,8.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1997-02-01,7.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1997-03-01,7.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1997-04-01,7.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1997-05-01,7.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1997-06-01,7.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1997-07-01,7.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1997-08-01,7.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1997-09-01,7.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1997-10-01,6.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1997-11-01,6.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1997-12-01,6.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1998-01-01,6.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1998-02-01,6.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1998-03-01,6.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1998-04-01,6.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1998-05-01,6.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1998-06-01,6.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1998-07-01,6.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1998-08-01,6.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1998-09-01,6.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1998-10-01,6.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1998-11-01,5.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1998-12-01,5.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1999-01-01,5.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1999-02-01,5.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1999-03-01,5.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1999-04-01,5.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1999-05-01,5.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1999-06-01,5.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1999-07-01,5.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1999-08-01,5.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1999-09-01,5.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1999-10-01,5.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1999-11-01,5.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1999-12-01,5.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2000-01-01,5.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2000-02-01,5.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2000-03-01,5.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2000-04-01,5.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2000-05-01,5.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2000-06-01,5.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2000-07-01,5.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2000-08-01,5.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2000-09-01,5.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2000-10-01,5.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2000-11-01,5.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2000-12-01,5.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2001-01-01,5.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2001-02-01,5.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2001-03-01,5.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2001-04-01,5.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2001-05-01,5.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2001-06-01,5.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2001-07-01,5.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2001-08-01,5.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2001-09-01,5.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2001-10-01,4.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2001-11-01,4.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2001-12-01,4.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2002-01-01,4.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2002-02-01,4.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2002-03-01,4.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2002-04-01,4.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2002-05-01,4.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2002-06-01,4.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2002-07-01,4.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2002-08-01,4.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2002-09-01,4.8,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2002-10-01,4.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2002-11-01,4.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2002-12-01,4.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2003-01-01,4.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2003-02-01,4.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2003-03-01,4.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2003-04-01,4.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2003-05-01,4.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2003-06-01,4.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2003-07-01,4.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2003-08-01,4.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2003-09-01,4.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2003-10-01,4.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2003-11-01,4.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2003-12-01,4.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2004-01-01,4.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2004-02-01,4.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2004-03-01,4.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2004-04-01,4.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2004-05-01,4.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2004-06-01,4.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2004-07-01,4.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2004-08-01,4.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2004-09-01,4.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2004-10-01,4.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2004-11-01,4.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2004-12-01,4.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2005-01-01,4.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2005-02-01,4.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2005-03-01,4.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2005-04-01,4.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2005-05-01,4.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2005-06-01,4.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2005-07-01,4.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2005-08-01,4.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2005-09-01,4.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2005-10-01,4.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2005-11-01,4.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2005-12-01,4.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2006-01-01,4.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2006-02-01,4.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2006-03-01,4.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2006-04-01,4.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2006-05-01,4.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2006-06-01,4.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2006-07-01,4.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2006-08-01,4.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2006-09-01,4.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2006-10-01,4.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2006-11-01,4.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2006-12-01,4.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2007-01-01,4.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2007-02-01,4.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2007-03-01,4.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2007-04-01,4.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2007-05-01,4.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2007-06-01,4.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2007-07-01,4.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2007-08-01,4.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2007-09-01,4.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2007-10-01,4.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2007-11-01,4.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2007-12-01,4.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2008-01-01,4.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2008-02-01,4.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2008-03-01,4.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2008-04-01,4.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2008-05-01,3.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2008-06-01,4.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2008-07-01,4.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2008-08-01,4.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2008-09-01,4.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2008-10-01,4.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2008-11-01,4.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2008-12-01,4.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2009-01-01,4.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2009-02-01,4.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2009-03-01,4.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2009-04-01,4.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2009-05-01,4.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2009-06-01,4.1,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2009-07-01,4.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2009-08-01,4.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2009-09-01,4.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2009-10-01,4.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2009-11-01,4.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2009-12-01,4.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2010-01-01,4.3,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2010-02-01,4.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2010-03-01,4.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2010-04-01,4.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2010-05-01,4.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2010-06-01,4.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2010-07-01,4.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2010-08-01,4.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2010-09-01,4.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2010-10-01,4.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2010-11-01,4.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2010-12-01,4.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2011-01-01,4.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2011-02-01,4.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2011-03-01,4.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2011-04-01,4.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2011-05-01,4.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2011-06-01,4.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2011-07-01,4.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2011-08-01,4.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2011-09-01,4.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2011-10-01,4.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2011-11-01,4.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2011-12-01,4.7,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2012-01-01,4.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2012-02-01,4.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2012-03-01,4.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2012-04-01,4.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2012-05-01,4.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2012-06-01,4.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2012-07-01,4.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2012-08-01,4.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2012-09-01,4.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2012-10-01,4.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2012-11-01,4.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2012-12-01,4.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2013-01-01,4.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2013-02-01,4.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2013-03-01,4.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2013-04-01,4.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2013-05-01,4.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2013-06-01,4.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2013-07-01,4.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2013-08-01,4.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2013-09-01,4.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2013-10-01,4.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2013-11-01,4.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2013-12-01,4.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2014-01-01,4.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2014-02-01,4.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2014-03-01,4.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2014-04-01,4.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2014-05-01,4.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2014-06-01,4.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2014-07-01,4.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2014-08-01,4.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2014-09-01,4.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2014-10-01,4.5,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2014-11-01,4.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
2014-12-01,4.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1990-01-01,15.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1991-01-01,14.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1992-01-01,14.6,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1993-01-01,13.9,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1994-01-01,12.2,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1995-01-01,11.0,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
1996-01-01,9.4,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles
